date,new_cases,new_deaths,new_recoveries,total_cases,total_deaths,total_recoveries,active_cases,tests_conducted,positivity_rate,vaccinations_daily
2020-02-21,3356,57,3188,86242,1513,81930,2798,20110,8.92,0
2020-02-22,15992,273,15192,102234,1786,97122,3325,144171,8.05,0
2020-02-23,7046,120,6694,109281,1906,103816,3557,91608,14.93,0
2020-02-24,2225,37,2113,111506,1944,105930,3630,15666,14.39,0
2020-02-25,12043,204,11441,123550,2149,117372,4027,127073,7.19,0
2020-02-26,2262,38,2149,125812,2187,119521,4102,27895,8.0,0
2020-02-27,9864,167,9371,135677,2355,128893,4428,110087,7.1,0
2020-02-28,0,0,0,135677,2355,128893,4428,0,,0
2020-02-29,3143,53,2986,138820,2408,131879,4532,26889,9.11,0
2020-03-01,11280,190,10716,150100,2598,142595,4906,144813,8.66,0
2020-03-02,14519,244,13793,164620,2843,156389,5387,153068,7.2,0
2020-03-03,12235,205,11623,176855,3048,168013,5794,61817,9.27,0
2020-03-04,11372,190,10804,188228,3239,178817,6171,143408,8.83,0
2020-03-05,11038,184,10486,199267,3424,189303,6538,59090,15.23,0
2020-03-06,5765,96,5477,205032,3521,194781,6730,71826,10.27,0
2020-03-07,10194,170,9685,215227,3691,204466,7070,71617,8.22,0
2020-03-08,12148,202,11541,227376,3893,216007,7474,177134,12.97,0
2020-03-09,20416,339,19395,247793,4233,235403,8156,177204,14.24,0
2020-03-10,17550,291,16673,265343,4525,252076,8741,145131,12.29,0
2020-03-11,7740,128,7353,273084,4653,259430,9000,50229,13.49,0
2020-03-12,18922,313,17976,292007,4967,277406,9633,152439,13.99,0
2020-03-13,16144,266,15337,308151,5233,292744,10173,222256,10.81,0
2020-03-14,15475,255,14702,323627,5489,307446,10691,231572,7.1,0
2020-03-15,22731,374,21595,346359,5863,329041,11453,197381,9.93,0
2020-03-16,25663,422,24380,372022,6286,353421,12314,243444,14.54,0
2020-03-17,26021,427,24720,398044,6713,378142,13188,318003,17.33,0
2020-03-18,18048,295,17145,416092,7009,395287,13795,250182,8.36,0
2020-03-19,21598,353,20518,437691,7362,415806,14521,236084,11.33,0
2020-03-20,25723,420,24437,463414,7783,440243,15387,229328,7.57,0
2020-03-21,29887,487,28393,493302,8270,468636,16394,272762,8.62,0
2020-03-22,23578,384,22399,516880,8654,491036,17189,281903,7.71,0
2020-03-23,26029,423,24728,542909,9078,515764,18067,130986,12.95,0
2020-03-24,22430,364,21308,565340,9442,537073,18824,251127,8.39,0
2020-03-25,23004,372,21854,588344,9815,558927,19602,196799,13.09,0
2020-03-26,34089,551,32385,622434,10366,591312,20755,441189,6.95,0
2020-03-27,37868,611,35974,660302,10978,627287,22036,224555,8.8,0
2020-03-28,31804,512,30214,692107,11491,657501,23114,346096,12.13,0
2020-03-29,38275,616,36362,730383,12107,693863,24411,375476,13.0,0
2020-03-30,36175,581,34367,766558,12688,728231,25639,413247,14.47,0
2020-03-31,32266,517,30653,798825,13206,758884,26734,182258,8.37,0
2020-04-01,38437,615,36515,837262,13822,795399,28041,415117,13.91,0
2020-04-02,45471,727,43198,882734,14549,838597,29587,482675,9.13,0
2020-04-03,38765,618,36827,921500,15168,875425,30906,411169,13.08,0
2020-04-04,47941,764,45544,969441,15932,920969,32539,529028,8.61,0
2020-04-05,28202,448,26792,997644,16380,947762,33501,331797,7.6,0
2020-04-06,46602,740,44272,1044247,17121,992034,35091,608159,7.82,0
2020-04-07,44127,699,41920,1088374,17821,1033955,36597,339699,7.93,0
2020-04-08,43401,687,41231,1131775,18508,1075186,38080,575088,14.54,0
2020-04-09,46564,735,44235,1178339,19244,1119422,39672,464828,17.0,0
2020-04-10,37379,589,35510,1215718,19833,1154932,40951,215699,8.34,0
2020-04-11,47432,747,45060,1263150,20581,1199993,42576,264932,11.52,0
2020-04-12,51529,810,48952,1314680,21391,1248946,44342,429878,10.73,0
2020-04-13,58345,916,55428,1373025,22307,1304374,46343,749677,18.83,0
2020-04-14,49573,777,47094,1422598,23084,1351468,48045,598688,13.17,0
2020-04-15,49326,771,46860,1471925,23856,1398329,49739,635628,18.74,0
2020-04-16,52058,813,49455,1523983,24669,1447784,51529,529570,7.25,0
2020-04-17,60333,940,57317,1584317,25610,1505101,53605,567258,13.45,0
2020-04-18,58581,912,55651,1642898,26522,1560753,55621,379284,9.46,0
2020-04-19,55457,862,52684,1698356,27384,1613438,57532,459295,18.55,0
2020-04-20,61828,959,58737,1760184,28344,1672175,59664,577493,8.57,0
2020-04-21,60889,943,57844,1821074,29287,1730020,61765,358394,12.15,0
2020-04-22,66372,1026,63053,1887446,30314,1793073,64057,478285,7.15,0
2020-04-23,59125,912,56169,1946571,31227,1849243,66101,649330,7.2,0
2020-04-24,62084,957,58980,2008655,32184,1908223,68248,767153,12.12,0
2020-04-25,62827,966,59686,2071483,33151,1967909,70422,941373,7.14,0
2020-04-26,58512,898,55586,2129996,34050,2023496,72449,838551,6.68,0
2020-04-27,68327,1048,64911,2198323,35098,2088407,74817,780690,7.54,0
2020-04-28,69143,1058,65685,2267467,36157,2154093,77216,636979,7.44,0
2020-04-29,68825,1052,65384,2336292,37209,2219478,79605,781982,13.35,0
2020-04-30,68559,1046,65131,2404852,38255,2284609,81986,881439,9.29,0
2020-05-01,63556,968,60379,2468409,39224,2344988,84196,392995,17.63,0
2020-05-02,69398,1055,65928,2537808,40279,2410917,86610,631461,16.81,0
2020-05-03,70622,1072,67090,2608430,41352,2478008,89069,946195,6.67,0
2020-05-04,69122,1047,65665,2677552,42400,2543674,91477,610923,12.1,0
2020-05-05,73087,1106,69433,2750639,43506,2613107,94025,783406,8.01,0
2020-05-06,76636,1157,72804,2827276,44664,2685912,96699,833626,7.65,0
2020-05-07,84729,1278,80492,2912005,45942,2766405,99657,579951,7.36,0
2020-05-08,76812,1156,72971,2988817,47099,2839376,102341,662303,6.68,0
2020-05-09,77826,1170,73934,3066643,48269,2913311,105062,649468,13.49,0
2020-05-10,76722,1151,72885,3143365,49420,2986197,107747,403708,18.51,0
2020-05-11,68011,1019,64611,3211377,50440,3050808,110128,356512,10.97,0
2020-05-12,77939,1165,74042,3289317,51606,3124851,112859,1037918,15.87,0
2020-05-13,78793,1176,74853,3368111,52782,3199705,115622,609130,19.14,0
2020-05-14,91182,1359,86623,3459293,54142,3286328,118822,928308,11.62,0
2020-05-15,78230,1164,74319,3537524,55306,3360647,121569,624848,7.79,0
2020-05-16,80978,1203,76929,3618502,56510,3437577,124414,1166640,9.38,0
2020-05-17,79527,1179,75550,3698029,57690,3513128,127211,603846,12.3,0
2020-05-18,74038,1096,70336,3772067,58786,3583464,129816,688301,8.66,0
2020-05-19,85727,1267,81441,3857795,60054,3664905,132835,1176807,13.66,0
2020-05-20,83855,1237,79662,3941650,61292,3744568,135790,1125285,19.44,0
2020-05-21,84084,1239,79879,4025734,62531,3824448,138755,576901,7.91,0
2020-05-22,75565,1111,71787,4101300,63643,3896235,141421,984348,8.9,0
2020-05-23,87060,1278,82707,4188360,64921,3978942,144496,834201,7.92,0
2020-05-24,72921,1069,69275,4261282,65991,4048218,147073,716800,18.56,0
2020-05-25,82701,1210,78566,4343984,67201,4126784,149997,523896,7.48,0
2020-05-26,90506,1322,85981,4434490,68524,4212766,153199,525482,8.93,0
2020-05-27,74340,1084,70623,4508831,69609,4283389,155832,912856,9.4,0
2020-05-28,76153,1109,72345,4584984,70718,4355734,158530,758835,8.89,0
2020-05-29,79127,1150,75170,4664111,71869,4430905,161336,741302,7.33,0
2020-05-30,75709,1099,71924,4739820,72968,4502829,164022,930854,9.2,0
2020-05-31,70026,1014,66524,4809846,73983,4569354,166509,886189,9.25,0
2020-06-01,77630,1123,73748,4887477,75106,4643103,169267,511511,6.71,0
2020-06-02,71440,1031,67868,4958917,76138,4710971,171807,793147,7.96,0
2020-06-03,78541,1132,74614,5037458,77271,4785585,174601,499016,10.61,0
2020-06-04,70956,1021,67408,5108415,78292,4852994,177128,887934,8.28,0
2020-06-05,82643,1187,78511,5191059,79480,4931506,180072,956149,11.25,0
2020-06-06,70278,1008,66764,5261337,80489,4998271,182577,1023690,13.72,0
2020-06-07,71848,1029,68255,5333186,81518,5066526,185141,408785,9.12,0
2020-06-08,76753,1097,72915,5409939,82615,5139442,187880,427557,7.0,0
2020-06-09,65723,938,62437,5475663,83554,5201880,190228,514083,7.0,0
2020-06-10,72174,1028,68565,5547837,84583,5270445,192808,549757,11.88,0
2020-06-11,76700,1091,72865,5624538,85674,5343311,195552,572935,9.73,0
2020-06-12,61224,869,58163,5685762,86544,5401474,197743,860973,14.05,0
2020-06-13,69254,982,65791,5755016,87526,5467266,200224,519091,6.69,0
2020-06-14,68672,972,65238,5823689,88498,5532504,202685,530115,6.75,0
2020-06-15,70299,993,66784,5893988,89492,5599288,205206,885344,8.7,0
2020-06-16,59198,835,56238,5953187,90328,5655527,207331,562234,7.67,0
2020-06-17,57753,813,54865,6010940,91141,5710393,209405,737342,8.23,0
2020-06-18,65917,927,62621,6076857,92068,5773015,211773,372675,9.15,0
2020-06-19,63727,894,60540,6140585,92963,5833555,214065,629351,18.07,0
2020-06-20,62412,874,59292,6202998,93838,5892848,216311,333043,10.47,0
2020-06-21,61796,864,58706,6264794,94703,5951554,218536,347700,8.51,0
2020-06-22,55555,776,52777,6320350,95479,6004332,220537,781352,8.49,0
2020-06-23,58997,822,56047,6379347,96302,6060380,222664,377138,11.45,0
2020-06-24,58173,810,55264,6437520,97112,6115644,224763,600593,6.94,0
2020-06-25,52000,722,49400,6489521,97835,6165045,226640,473777,14.98,0
2020-06-26,63760,884,60572,6553282,98720,6225618,228943,540273,10.0,0
2020-06-27,55656,771,52874,6608939,99491,6278492,230955,779104,8.4,0
2020-06-28,46185,638,43876,6655124,100130,6322368,232625,241006,8.35,0
2020-06-29,54278,749,51564,6709403,100880,6373933,234589,631689,8.71,0
2020-06-30,44978,620,42729,6754381,101500,6416662,236218,658208,12.9,0
2020-07-01,52646,724,50013,6807027,102224,6466676,238126,558136,15.24,0
2020-07-02,53367,733,50699,6860395,102958,6517375,240061,766798,8.8,0
2020-07-03,42341,580,40224,6902737,103539,6557600,241597,233835,9.1,0
2020-07-04,50140,686,47633,6952877,104225,6605234,243418,460690,14.72,0
2020-07-05,46276,632,43962,6999154,104858,6649196,245099,351771,8.3,0
2020-07-06,47222,644,44860,7046376,105503,6694057,246815,581218,10.47,0
2020-07-07,51507,701,48932,7097883,106204,6742989,248689,762982,8.56,0
2020-07-08,39722,540,37736,7137606,106745,6780726,250134,300514,7.48,0
2020-07-09,36122,490,34316,7173728,107235,6815042,251450,416914,14.93,0
2020-07-10,34401,466,32681,7208130,107702,6847723,252704,240154,19.26,0
2020-07-11,33745,456,32058,7241875,108159,6879781,253934,359499,7.82,0
2020-07-12,36433,492,34611,7278309,108651,6914393,255263,351194,9.01,0
2020-07-13,37539,506,35662,7315848,109157,6950056,256634,552584,8.34,0
2020-07-14,36253,488,34440,7352101,109646,6984496,257958,401877,7.47,0
2020-07-15,38063,511,36160,7390165,110158,7020657,259350,323355,7.68,0
2020-07-16,33074,443,31420,7423240,110602,7052078,260559,203109,6.85,0
2020-07-17,39382,527,37413,7462623,111129,7089492,262001,256479,9.65,0
2020-07-18,29922,400,28426,7492545,111530,7117918,263097,217033,10.12,0
2020-07-19,44003,587,41802,7536548,112117,7159721,264709,330448,11.09,0
2020-07-20,32713,436,31078,7569262,112554,7190799,265908,441837,15.3,0
2020-07-21,24510,326,23284,7593772,112880,7214084,266808,260106,9.32,0
2020-07-22,22679,301,21545,7616452,113181,7235629,267640,232104,12.87,0
2020-07-23,29713,394,28228,7646166,113576,7263858,268732,182671,7.04,0
2020-07-24,25480,337,24206,7671646,113913,7288064,269668,346570,9.23,0
2020-07-25,29493,390,28019,7701140,114303,7316083,270753,360654,9.15,0
2020-07-26,27646,364,26263,7728787,114668,7342347,271770,156939,11.7,0
2020-07-27,24302,320,23087,7753089,114988,7365435,272665,293538,18.12,0
2020-07-28,19851,261,18858,7772940,115250,7384293,273396,207153,18.81,0
2020-07-29,15960,209,15162,7788901,115459,7399456,273985,92844,10.83,0
2020-07-30,20782,272,19743,7809684,115732,7419199,274751,199162,17.11,0
2020-07-31,26810,351,25470,7836494,116083,7444669,275741,264003,9.03,0
2020-08-01,23144,302,21987,7859639,116385,7466657,276596,154089,7.24,0
2020-08-02,15423,201,14651,7875062,116587,7481309,277165,222971,7.23,0
2020-08-03,22128,288,21021,7897190,116875,7502330,277984,298724,8.63,0
2020-08-04,22832,296,21690,7920022,117172,7524021,278828,266911,14.06,0
2020-08-05,16162,209,15354,7936184,117382,7539375,279426,155528,7.34,0
2020-08-06,21059,272,20006,7957243,117655,7559381,280206,192011,7.21,0
2020-08-07,20323,263,19307,7977567,117918,7578689,280960,233922,14.35,0
2020-08-08,14093,182,13388,7991660,118100,7592077,281482,147334,8.08,0
2020-08-09,21405,276,20335,8013066,118376,7612412,282276,120356,12.71,0
2020-08-10,22261,286,21148,8035328,118663,7633561,283103,225401,7.68,0
2020-08-11,24747,318,23510,8060075,118981,7657072,284022,323306,6.68,0
2020-08-12,24509,314,23283,8084585,119295,7680355,284933,235102,18.87,0
2020-08-13,12292,157,11677,8096877,119453,7692033,285390,67849,7.16,0
2020-08-14,14465,185,13742,8111343,119638,7705776,285928,186066,8.91,0
2020-08-15,21736,277,20649,8133079,119915,7726425,286738,152450,6.79,0
2020-08-16,21769,277,20681,8154849,120193,7747106,287549,165147,10.36,0
2020-08-17,21847,278,20755,8176697,120471,7767862,288363,145224,7.42,0
2020-08-18,38641,490,36708,8215338,120962,7804571,289804,320803,17.78,0
2020-08-19,22369,283,21250,8237707,121245,7825821,290639,281123,11.97,0
2020-08-20,25362,321,24093,8263069,121567,7849915,291586,258537,17.64,0
2020-08-21,24656,311,23423,8287725,121878,7873339,292507,173796,6.78,0
2020-08-22,23377,295,22208,8311102,122173,7895547,293381,322098,7.59,0
2020-08-23,18810,237,17869,8329912,122410,7913417,294084,259500,7.39,0
2020-08-24,24479,307,23255,8354392,122718,7936672,295000,335508,6.95,0
2020-08-25,17150,215,16292,8371542,122934,7952965,295642,126705,17.09,0
2020-08-26,20191,253,19182,8391734,123187,7972147,296399,192072,11.29,0
2020-08-27,19342,242,18375,8411076,123429,7990522,297124,287229,17.51,0
2020-08-28,22602,282,21472,8433679,123711,8011995,297972,287512,14.07,0
2020-08-29,34222,426,32511,8467901,124138,8044506,299256,180410,13.71,0
2020-08-30,13800,171,13110,8481702,124310,8057616,299774,77998,10.32,0
2020-08-31,27085,336,25731,8508787,124647,8083348,300791,261088,13.01,0
2020-09-01,16140,200,15333,8524927,124847,8098681,301398,227448,16.64,0
2020-09-02,22423,277,21302,8547351,125125,8119984,302241,232916,14.98,0
2020-09-03,30838,381,29296,8578190,125507,8149281,303402,307713,15.45,0
2020-09-04,26356,325,25038,8604547,125832,8174319,304394,159583,6.79,0
2020-09-05,21318,262,20252,8625865,126095,8194572,305197,246606,7.94,0
2020-09-06,23832,293,22641,8649698,126388,8217213,306095,315092,6.81,0
2020-09-07,31539,387,29962,8681237,126776,8247175,307285,277680,10.64,0
2020-09-08,25252,309,23989,8706490,127086,8271165,308238,322121,12.85,0
2020-09-09,30779,376,29240,8737269,127463,8300405,309400,450753,7.7,0
2020-09-10,30747,375,29209,8768016,127839,8329615,310561,216389,12.1,0
2020-09-11,28114,343,26708,8796130,128182,8356324,311624,287699,12.51,0
2020-09-12,42974,523,40825,8839104,128706,8397149,313249,338264,13.65,0
2020-09-13,36335,442,34519,8875440,129148,8431668,314623,469769,15.88,0
2020-09-14,23982,291,22782,8899422,129439,8454451,315531,258428,13.22,0
2020-09-15,36010,436,34210,8935433,129876,8488661,316895,408573,11.69,0
2020-09-16,32769,396,31131,8968203,130272,8519793,318137,425325,8.52,0
2020-09-17,41370,499,39301,9009574,130772,8559095,319705,370667,17.78,0
2020-09-18,34204,412,32494,9043778,131185,8591589,321003,484020,14.07,0
2020-09-19,38680,465,36746,9082458,131651,8628335,322471,399582,7.64,0
2020-09-20,42895,515,40750,9125354,132167,8669086,324100,282233,15.46,0
2020-09-21,45844,550,43552,9171198,132717,8712638,325842,548252,11.87,0
2020-09-22,36687,439,34853,9207886,133157,8747492,327236,474465,7.33,0
2020-09-23,42218,505,40107,9250104,133662,8787599,328842,344823,15.27,0
2020-09-24,42746,510,40608,9292850,134173,8828208,330469,580142,17.16,0
2020-09-25,43112,514,40956,9335963,134687,8869165,332110,606220,10.16,0
2020-09-26,56492,672,53667,9392455,135360,8922832,334262,438889,12.46,0
2020-09-27,51003,606,48453,9443458,135966,8971285,336206,756643,9.4,0
2020-09-28,44014,522,41814,9487473,136488,9013099,337885,282007,7.67,0
2020-09-29,56276,666,53462,9543749,137155,9066562,340032,395070,15.69,0
2020-09-30,63693,753,60508,9607442,137908,9127070,342463,435803,9.25,0
2020-10-01,59666,704,56682,9667109,138613,9183753,344742,831741,9.95,0
2020-10-02,48355,569,45937,9715464,139183,9229691,346590,558160,15.53,0
2020-10-03,55005,647,52254,9770469,139830,9281945,348693,358690,8.9,0
2020-10-04,65260,766,61997,9835730,140597,9343943,351189,613661,12.93,0
2020-10-05,56913,667,54067,9892643,141264,9398011,353367,634752,10.12,0
2020-10-06,64221,751,61010,9956864,142016,9459021,355826,374708,17.17,0
2020-10-07,67450,788,64078,10024315,142805,9523099,358410,932449,10.42,0
2020-10-08,60542,706,57515,10084857,143511,9580615,360731,789235,12.4,0
2020-10-09,66503,774,63178,10151361,144286,9643793,363281,668495,7.56,0
2020-10-10,52241,607,49629,10203603,144894,9693422,365286,766453,17.95,0
2020-10-11,64996,754,61746,10268599,145648,9755169,367781,596512,10.89,0
2020-10-12,70548,817,67021,10339148,146466,9822190,370490,1047017,10.43,0
2020-10-13,67287,778,63923,10406435,147245,9886113,373076,785863,8.16,0
2020-10-14,83425,963,79253,10489860,148209,9965367,376283,946600,9.31,0
2020-10-15,69869,805,66376,10559730,149015,10031744,378971,465302,8.57,0
2020-10-16,76598,882,72768,10636329,149897,10104512,381919,1058538,7.83,0
2020-10-17,81250,934,77188,10717579,150831,10181700,385047,753591,7.34,0
2020-10-18,89620,1028,85139,10807200,151859,10266840,388500,593497,12.29,0
2020-10-19,77070,883,73217,10884271,152743,10340057,391470,395071,9.63,0
2020-10-20,91920,1051,87324,10976191,153794,10427382,395015,974128,7.46,0
2020-10-21,88026,1005,83625,11064218,154799,10511007,398411,904385,6.71,0
2020-10-22,84955,968,80708,11149174,155768,10591715,401690,1035911,7.2,0
2020-10-23,94077,1070,89373,11243251,156839,10681089,405323,1307920,11.47,0
2020-10-24,94681,1075,89947,11337932,157915,10771036,408981,548588,14.39,0
2020-10-25,92617,1050,87986,11430550,158965,10859022,412561,1140583,10.11,0
2020-10-26,97914,1108,93018,11528464,160074,10952041,416348,673074,8.05,0
2020-10-27,97597,1103,92717,11626062,161178,11044759,420124,1325550,10.07,0
2020-10-28,102062,1152,96959,11728125,162330,11141719,424076,1346273,10.17,0
2020-10-29,106787,1203,101448,11834912,163533,11243167,428212,1111439,7.47,0
2020-10-30,113398,1275,107728,11948311,164809,11350896,432606,1372400,11.61,0
2020-10-31,101280,1137,96216,12049592,165946,11447112,436532,824777,7.35,0
2020-11-01,120143,1347,114136,12169735,167293,11561248,441192,1166794,11.03,0
2020-11-02,101733,1138,96647,12271469,168432,11657896,445140,1344551,12.07,0
2020-11-03,112757,1260,107119,12384226,169692,11765015,449518,1081642,10.48,0
2020-11-04,118485,1321,112560,12502711,171014,11877576,454120,1016362,7.92,0
2020-11-05,118979,1325,113030,12621691,172339,11990607,458744,1182910,15.97,0
2020-11-06,116495,1295,110670,12738186,173635,12101277,463274,1547348,14.36,0
2020-11-07,120604,1338,114574,12858791,174974,12215851,467965,1007297,6.89,0
2020-11-08,121216,1343,115156,12980008,176317,12331007,472682,816712,14.8,0
2020-11-09,122771,1358,116633,13102779,177675,12447640,477463,1488010,9.37,0
2020-11-10,132001,1458,125401,13234781,179133,12573042,482605,1750314,9.27,0
2020-11-11,131571,1450,124992,13366353,180584,12698035,487732,790267,10.1,0
2020-11-12,128350,1413,121933,13494704,181997,12819968,492737,949634,8.74,0
2020-11-13,138337,1520,131420,13633041,183518,12951389,498133,888087,13.7,0
2020-11-14,137393,1507,130524,13770435,185025,13081913,503496,1165020,9.5,0
2020-11-15,141932,1554,134835,13912367,186580,13216749,509037,1348857,11.47,0
2020-11-16,143018,1564,135867,14055386,188144,13352617,514624,1786054,8.61,0
2020-11-17,137718,1503,130832,14193104,189648,13483449,520007,1585339,15.6,0
2020-11-18,141044,1537,133991,14334148,191185,13617441,525522,1581002,9.34,0
2020-11-19,149551,1627,142073,14483699,192812,13759514,531372,1274735,14.59,0
2020-11-20,150822,1638,143281,14634522,194451,13902796,537275,2023208,12.84,0
2020-11-21,149608,1622,142127,14784130,196073,14044924,543132,1453125,13.91,0
2020-11-22,152225,1648,144614,14936356,197721,14189538,549096,2251573,14.64,0
2020-11-23,159936,1728,151939,15096292,199450,14341477,555364,1813903,7.54,0
2020-11-24,152480,1645,144856,15248773,201095,14486334,561342,954933,12.73,0
2020-11-25,160045,1724,152043,15408818,202820,14638377,567620,1882418,7.01,0
2020-11-26,158149,1700,150242,15566968,204520,14788619,573827,1304898,6.8,0
2020-11-27,159900,1716,151905,15726869,206237,14940525,580105,1896948,9.33,0
2020-11-28,168288,1803,159874,15895158,208041,15100400,586716,958642,15.55,0
2020-11-29,168703,1805,160268,16063861,209847,15260668,593346,1138547,11.43,0
2020-11-30,170399,1820,161879,16234261,211667,15422548,600045,2310172,7.71,0
2020-12-01,174588,1862,165859,16408849,213529,15588407,606912,1269573,11.53,0
2020-12-02,169867,1808,161374,16578717,215338,15749781,613597,2271200,17.04,0
2020-12-03,174844,1858,166102,16753562,217197,15915884,620481,1362523,9.46,0
2020-12-04,171525,1820,162949,16925088,219017,16078833,627237,1960338,7.43,0
2020-12-05,176309,1867,167493,17101397,220885,16246327,634184,2105396,7.72,0
2020-12-06,175616,1857,166835,17277013,222742,16413162,641107,1778386,14.81,0
2020-12-07,178297,1882,169382,17455310,224625,16582545,648139,1435846,8.53,0
2020-12-08,182298,1921,173183,17637609,226547,16755729,655333,1299142,13.88,0
2020-12-09,176707,1859,167871,17814316,228407,16923600,662308,942184,13.92,0
2020-12-10,192699,2024,183064,18007015,230431,17106665,669918,1549197,7.28,0
2020-12-11,178608,1873,169678,18185624,232305,17276343,676975,2059646,13.34,0
2020-12-12,178930,1873,169984,18364554,234179,17446327,684048,2573567,13.1,0
2020-12-13,192115,2008,182509,18556670,236187,17628837,691645,2634299,19.97,0
2020-12-14,191566,1999,181988,18748237,238187,17810825,699224,2425360,7.3,0
2020-12-15,191971,2000,182372,18940209,240187,17993198,706823,2473451,7.74,0
2020-12-16,193193,2009,183533,19133402,242197,18176731,714473,2250669,8.87,0
2020-12-17,191147,1985,181590,19324549,244182,18358322,722045,1453271,8.0,0
2020-12-18,187837,1947,178445,19512386,246129,18536767,729489,2643234,15.34,0
2020-12-19,193772,2005,184083,19706159,248135,18720851,737172,2268558,10.43,0
2020-12-20,191033,1974,181481,19897192,250109,18902333,744750,2025792,11.75,0
2020-12-21,200274,2066,190260,20097467,252175,19092593,752698,1223655,16.84,0
2020-12-22,195597,2014,185817,20293064,254189,19278411,760463,1852415,10.14,0
2020-12-23,193092,1985,183437,20486156,256175,19461848,768132,1854378,7.04,0
2020-12-24,196453,2016,186630,20682609,258191,19648479,775938,2680726,18.52,0
2020-12-25,200917,2058,190871,20883526,260250,19839350,783925,2102896,12.63,0
2020-12-26,196778,2013,186939,21080305,262263,20026290,791751,1732438,14.13,0
2020-12-27,196182,2003,186373,21276487,264267,20212663,799557,2897218,13.55,0
2020-12-28,202159,2061,192051,21478646,266328,20404714,807603,1234627,7.1,0
2020-12-29,202764,2064,192625,21681410,268392,20597340,815677,1870596,10.33,0
2020-12-30,199553,2027,189576,21880964,270420,20786916,823627,1081630,10.35,0
2020-12-31,200233,2031,190221,22081197,272452,20977137,831607,2482699,7.93,0
2021-01-01,204198,2068,193988,22285396,274520,21171126,839749,2895697,15.28,0
2021-01-02,196198,1983,186388,22481595,276504,21357515,847575,1530424,10.13,0
2021-01-03,196753,1986,186915,22678348,278490,21544431,855426,2672578,10.75,0
2021-01-04,200499,2020,190474,22878848,280511,21734905,863431,1588393,9.12,0
2021-01-05,203276,2045,193112,23082124,282556,21928018,871549,2867760,6.67,0
2021-01-06,206100,2070,195795,23288224,284626,22123813,879784,2584419,7.88,0
2021-01-07,212075,2126,201471,23500300,286753,22325285,888261,2767387,11.14,0
2021-01-08,209090,2093,198636,23709391,288846,22523921,896623,1083104,7.53,0
2021-01-09,204057,2039,193854,23913448,290885,22717776,904786,2984979,14.91,0
2021-01-10,204768,2043,194530,24118217,292929,22912306,912981,2511841,18.85,0
2021-01-11,199809,1990,189819,24318027,294919,23102126,920981,1607970,14.2,0
2021-01-12,204640,2035,194408,24522667,296954,23296534,929178,2720477,11.9,0
2021-01-13,203152,2016,192995,24725820,298971,23489529,937319,1587682,9.9,0
2021-01-14,206026,2042,195724,24931846,301013,23685254,945578,2828232,8.97,0
2021-01-15,200046,1979,190044,25131893,302993,23875298,953601,1225447,7.09,0
2021-01-16,206504,2039,196179,25338398,305033,24071478,961886,2485663,9.9,0
2021-01-17,211251,2083,200688,25549649,307116,24272166,970366,2198486,9.99,0
2021-01-18,202679,1995,192545,25752328,309111,24464711,978504,1209050,18.17,0
2021-01-19,204823,2013,194582,25957151,311125,24659294,986732,1519573,18.69,0
2021-01-20,205815,2019,195524,26162966,313144,24854818,995003,1054605,9.51,0
